center,left,right,steering,throttle,brake,speed
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_47_056.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_47_056.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_47_056.jpg,0,0.2064932,0,15.6025
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_47_126.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_47_126.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_47_126.jpg,0,0.1871274,0,16.16051
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_47_194.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_47_194.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_47_194.jpg,-0.02221695,0.1484336,0,16.19764
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_47_264.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_47_264.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_47_264.jpg,-0.1189705,0.1387507,0,15.6786
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_47_334.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_47_334.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_47_334.jpg,-0.1286533,0.1484336,0,15.67435
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_47_410.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_47_410.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_47_410.jpg,-0.1286533,0.1484336,0,16.20235
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_47_479.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_47_479.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_47_479.jpg,-0.1286533,0.1677993,0,16.2209
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_47_546.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_47_546.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_47_546.jpg,-0.1286533,0.1677993,0,15.72769
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_47_615.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_47_615.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_47_615.jpg,-0.1383362,0.1677993,0,15.76109
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_47_682.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_47_682.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_47_682.jpg,-0.1286533,0.1871274,0,16.30854
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_47_760.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_47_760.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_47_760.jpg,-0.1286533,0.1871274,0,16.35254
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_47_843.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_47_843.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_47_843.jpg,-0.1383362,0.1871274,0,16.38776
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_47_913.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_47_913.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_47_913.jpg,-0.1673472,0.1871274,0,16.4381
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_47_997.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_47_997.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_47_997.jpg,-0.1673472,0.1871274,0,16.48797
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_48_071.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_48_071.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_48_071.jpg,-0.1673472,0.1871274,0,16.02241
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_48_138.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_48_138.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_48_138.jpg,-0.1576643,0.1871274,0,16.07427
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_48_206.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_48_206.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_48_206.jpg,-0.1576643,0.1871274,0,16.60516
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_48_280.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_48_280.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_48_280.jpg,-0.1673472,0.1871274,0,16.65324
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_48_351.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_48_351.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_48_351.jpg,-0.1576643,0.1871274,0,16.18974
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_48_433.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_48_433.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_48_433.jpg,-0.1673472,0.1871274,0,16.74961
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_48_510.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_48_510.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_48_510.jpg,-0.1673472,0.1871274,0,16.28685
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_48_587.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_48_587.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_48_587.jpg,-0.1673472,0.1871274,0,16.33493
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_48_664.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_48_664.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_48_664.jpg,-0.1383362,0.1968103,0,16.39349
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_48_738.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_48_738.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_48_738.jpg,-0.1383362,0.1968103,0,16.4515
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_48_816.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_48_816.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_48_816.jpg,-0.0802766,0.1871274,0,16.50389
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_48_885.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_48_885.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_48_885.jpg,0,0.1387507,0,17.03765
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_48_953.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_48_953.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_48_953.jpg,0,0.1387507,0,17.0378
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_49_025.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_49_025.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_49_025.jpg,0,0.1581164,0,16.53802
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_49_096.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_49_096.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_49_096.jpg,0,0.1581164,0,16.55595
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_49_171.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_49_171.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_49_171.jpg,0,0.1581164,0,17.0701
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_49_246.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_49_246.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_49_246.jpg,0,0.1581164,0,17.08774
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_49_314.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_49_314.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_49_314.jpg,0,0.1581164,0,17.10515
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_49_388.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_49_388.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_49_388.jpg,0,0.1581164,0,16.61731
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_49_473.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_49_473.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_49_473.jpg,0,0.1581164,0,17.13967
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_49_558.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_49_558.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_49_558.jpg,0,0.1581164,0,17.15652
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_49_639.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_49_639.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_49_639.jpg,0,0.1484336,0,17.17192
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_49_713.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_49_713.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_49_713.jpg,0,0.1387507,0,17.174
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_49_785.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_49_785.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_49_785.jpg,0,0.1387507,0,16.67256
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_49_868.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_49_868.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_49_868.jpg,0,0.1484336,0,16.67457
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_49_945.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_49_945.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_49_945.jpg,0,0.1194226,0,16.6758
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_50_022.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_50_022.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_50_022.jpg,0,0.07104581,0,16.63231
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_50_091.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_50_091.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_50_091.jpg,0,0.06136293,0,17.09714
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_50_163.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_50_163.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_50_163.jpg,0,0.06136293,0,17.0216
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_50_230.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_50_230.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_50_230.jpg,0,0,0,16.41047
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_50_307.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_50_307.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_50_307.jpg,-0.5930551,0.09037393,0,16.29282
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_50_385.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_50_385.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_50_385.jpg,-0.5156674,0.07104581,0,16.0127
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_50_460.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_50_460.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_50_460.jpg,0,0.05168004,0,15.92633
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_50_527.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_50_527.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_50_527.jpg,0,0.09037393,0,16.35796
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_50_596.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_50_596.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_50_596.jpg,0,0.1194226,0,16.33057
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_50_685.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_50_685.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_50_685.jpg,0,0.1581164,0,15.80518
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_50_740.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_50_740.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_50_740.jpg,0,0.1871274,0,15.86236
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_50_815.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_50_815.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_50_815.jpg,-0.2157239,0.1581164,0,15.87737
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_50_890.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_50_890.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_50_890.jpg,-0.3124775,0.1871274,0,16.39396
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_50_967.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_50_967.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_50_967.jpg,-0.3221603,0.2161761,0,16.43132
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_51_055.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_51_055.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_51_055.jpg,-0.1770301,0.1677993,0,15.96442
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_51_125.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_51_125.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_51_125.jpg,-0.1770301,0.1871274,0,16.52647
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_51_212.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_51_212.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_51_212.jpg,-0.1673472,0.1871274,0,16.57915
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_51_283.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_51_283.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_51_283.jpg,-0.2447349,0.2161761,0,16.63435
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_51_364.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_51_364.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_51_364.jpg,-0.2931117,0.274198,0,16.75024
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_51_438.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_51_438.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_51_438.jpg,-0.2931117,0.274198,0,16.87687
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_51_512.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_51_512.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_51_512.jpg,-0.2737836,0.2838809,0,16.53211
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_51_587.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_51_587.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_51_587.jpg,-0.2254068,0.2548699,0,16.65252
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_51_663.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_51_663.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_51_663.jpg,-0.0705937,0.274198,0,16.76353
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_51_752.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_51_752.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_51_752.jpg,0,0.3516234,0,16.97761
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_51_832.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_51_832.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_51_832.jpg,0,0.3419406,0,17.16765
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_51_926.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_51_926.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_51_926.jpg,0,0.2935638,0,17.77618
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_51_999.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_51_999.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_51_999.jpg,0,0.2838809,0,17.90811
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_52_075.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_52_075.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_52_075.jpg,0,0.2838809,0,18.03764
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_52_143.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_52_143.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_52_143.jpg,0,0.2935638,0,17.7092
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_52_228.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_52_228.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_52_228.jpg,0,0.2935638,0,17.86471
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_52_309.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_52_309.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_52_309.jpg,0,0.2838809,0,17.99514
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_52_380.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_52_380.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_52_380.jpg,0,0.2838809,0,18.12748
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_52_450.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_52_450.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_52_450.jpg,0,0.2838809,0,18.62542
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_52_521.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_52_521.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_52_521.jpg,0,0.2838809,0,18.75012
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_52_598.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_52_598.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_52_598.jpg,0,0.2838809,0,18.87326
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_52_665.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_52_665.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_52_665.jpg,0,0.2838809,0,18.58927
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_52_739.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_52_739.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_52_739.jpg,0,0.2838809,0,18.72034
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_52_810.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_52_810.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_52_810.jpg,0,0.2935638,0,19.17463
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_52_885.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_52_885.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_52_885.jpg,0,0.2935638,0,19.30676
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_52_971.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_52_971.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_52_971.jpg,0,0.3032467,0,19.43572
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_53_039.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_53_039.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_53_039.jpg,0,0.3225748,0,19.56538
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_53_110.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_53_110.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_53_110.jpg,0,0.4386941,0,19.43114
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_53_184.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_53_184.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_53_184.jpg,0,0.5741414,0,19.83063
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_53_256.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_53_256.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_53_256.jpg,0,0.5741414,0,20.23964
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_53_328.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_53_328.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_53_328.jpg,0,0.5547757,0,20.73699
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_53_398.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_53_398.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_53_398.jpg,0,0.5257647,0,21.09468
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_53_470.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_53_470.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_53_470.jpg,0,0.5257647,0,21.17118
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_53_542.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_53_542.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_53_542.jpg,0,0.4870708,0,21.51716
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_53_612.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_53_612.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_53_612.jpg,0,0.3806344,0,21.85596
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_53_680.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_53_680.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_53_680.jpg,0,0.2838809,0,22.0007
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_53_749.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_53_749.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_53_749.jpg,0,0.2451871,0,21.90507
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_05_53_825.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_05_53_825.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_05_53_825.jpg,0,0.2064932,0,21.93068
